,Accuracy,Precision,Recall,F1 Score
Logistic,0.9890909090909091,0.9752066115702479,1.0,0.9874476987447699
K-NN (5),1.0,1.0,1.0,1.0
SVM,0.9890909090909091,0.9752066115702479,1.0,0.9874476987447699
Kernel SVM (Gaussian),1.0,1.0,1.0,1.0
Naive Bayes,0.8327272727272728,0.8050847457627118,0.8050847457627118,0.8050847457627118
Decision Tree,0.9854545454545455,0.975,0.9915254237288136,0.9831932773109243
Random Forest (10),0.9927272727272727,0.9915254237288136,0.9915254237288136,0.9915254237288136
